VehicleType,RegNum,Wheels,Color,Brand,Model,ArrivalTime
Buss,STG421,4,Svart,SCANIA,OMNILINK,2020-05-06 06:58:57
Buss,CNG715,6,Gul,SCANIA,OMNILINK,2020-05-04 05:29:04
Cykel,EPL936,2,Gul,BIANCHI,OLTRE XR4,2020-05-06 07:38:51
Buss,CSO104,4,Röd,IVECO,CROSSWAY,2020-05-03 13:25:19
Buss,BXH787,4,Gul,VOLVO,9700,2020-05-06 16:22:14
Bil,WNU421,3,Grå,VOLVO,S40,2020-05-05 11:34:50
MC,GNM926,2,Blå,KAWASAKI,ZX900A,2020-05-06 13:26:46
Buss,CFZ323,4,Grön,FORD,TRANSIT,2020-05-06 20:08:05
MC,MNT928,2,Grå,HONDA,XL650V,2020-05-06 23:33:49
MC,CTR767,2,Grå,KAWASAKI,VN800,2020-05-06 23:36:18
Bil,DNX967,4,Blå,VOLVO,744,2020-05-02 09:00:00
Bil,MBW968,4,Gul,SAAB,96 V4,2020-05-04 22:48:46
MC,FFM157,2,Annan,YAMAHA,XVS1100A,2020-05-06 00:59:14
Bil,SOS505,3,Gul,RN,MEGANE,2020-05-05 03:11:15
MC,WSU492,2,Vit,HONDA,Z 50 A,2020-05-04 10:53:00
Buss,DGB340,4,Orange,SCANIA,CITYWIDE,2020-05-03 13:29:32
Flygplan,ESG674,4,Röd,BOEING,C-17,2020-05-03 06:47:50
Buss,COK476,4,Blå,IVECO,CREALIS,2020-05-04 05:08:27
MC,PFR704,2,Gul,HONDA,CB 125,2020-05-02 18:05:17
Bil,URM054,4,Gul,VOLVO,V70,2020-05-02 12:03:23
Bil,HEP904,4,Annan,OPEL,ASTRA,2020-05-03 16:28:22
Bil,FHR454,4,Blå,RN,LAGUNA,2020-05-06 21:30:51
MC,MCA829,2,Grön,SUZUKI,VZ800,2020-05-03 09:00:53
MC,UWA467,3,Annan,KAWASAKI,VN800,2020-05-03 15:41:12
MC,UNZ540,2,Röd,SUZUKI,LS650P,2020-05-04 07:34:35
Cykel,SCR634,2,Grå,BIANCHI,OLTRE XR4,2020-05-04 19:44:52
MC,GRL977,2,Svart,HONDA,CB 650,2020-05-03 10:44:55
MC,URW871,2,Orange,SUZUKI,VS1400GLP,2020-05-06 18:12:50
Bil,UFX669,4,Röd,BMW,520I,2020-05-03 11:12:12
Cykel,EHJ578,2,Orange,SKEPPSHULT,Z,2020-05-03 03:54:10
Bil,JNU999,3,Orange,VW,GOLF,2020-05-06 01:27:07
MC,GMS895,2,Blå,HONDA,SCV100,2020-05-04 06:41:39
Buss,COF467,4,Grön,VOLVO,8900,2020-05-03 02:05:20
Bil,HGD421,3,Grå,AUDI,TT,2020-05-03 20:15:44
Bil,HWK611,4,Grå,AUDI,A4,2020-05-05 15:23:01
MC,JOX510,2,Annan,KAWASAKI,Z750,2020-05-04 04:50:55
MC,JXB230,2,Grön,HONDA,CB 400,2020-05-06 13:56:31
Bil,TWA231,3,Svart,VW,GOLF,2020-05-02 06:25:04
Bil,WJR706,4,Grå,SAAB,95,2020-05-03 12:38:32
MC,UOW423,2,Gul,HONDA,CB 750,2020-05-02 04:02:23
MC,SCS814,2,Blå,HONDA,Z 50 A,2020-05-04 21:40:00
Buss,CGN662,4,Orange,SCANIA,OMNILINK,2020-05-02 16:56:39
Buss,DFX739,4,Röd,SCANIA,OMNILINK,2020-05-02 18:14:42
Buss,CFR102,4,Svart,SCANIA,CITYWIDE,2020-05-02 20:41:07
Bil,WAY342,4,Grå,BMW,316I,2020-05-03 05:10:42
Bil,XEJ398,4,Röd,VOLVO,V70,2020-05-05 06:31:19
Bil,PXS609,4,Vit,VOLVO,V60,2020-05-04 02:02:19
Buss,EFT759,4,Grå,VOLVO,8900,2020-05-06 16:59:59
Buss,CKF522,4,Annan,IVECO,URBANWAY,2020-05-03 06:31:15
Bil,NSF363,4,Svart,TOYOTA,YARIS,2020-05-06 06:35:29
MC,BRM840,2,Svart,YAMAHA,XT660R,2020-05-04 18:52:12
Bil,WXE970,4,Grön,FORD,MUSTANG,2020-05-05 12:20:34
MC,SXK397,2,Grå,KAWASAKI,VN1600,2020-05-04 17:22:10
MC,SXY367,2,Gul,YAMAHA,XT660R,2020-05-04 13:13:31
MC,TGW979,2,Orange,SUZUKI,VZ800,2020-05-03 02:57:53
Bil,BCK979,3,Vit,VW,GOLF,2020-05-02 08:59:43
Buss,XAN273,4,Grå,SCANIA,OMNILINK,2020-05-05 22:43:28
Bil,WFG486,4,Blå,FORD,FIESTA,2020-05-02 14:55:02
Buss,SMC355,4,Annan,SCANIA,CITYWIDE,2020-05-06 08:28:44
Bil,ARR485,4,Grön,VW,POLO,2020-05-04 16:09:47
Flygplan,XXP816,6,Annan,BOEING,B-52,2020-05-02 22:46:50
Bil,TDY443,4,Annan,VOLVO,V40,2020-05-02 10:42:38
Båt,JJN264,0,Gul,NIMBUS,AXOPAR 28,2020-05-06 13:05:29
Bil,KBZ299,4,Gul,OPEL,CORSA,2020-05-04 17:25:05
Cykel,MCT354,2,Svart,BIANCHI,OLTRE XR4,2020-05-05 18:02:59
MC,RNO656,2,Gul,YAMAHA,YZF-R1,2020-05-03 19:09:01
MC,KTB655,2,Orange,HONDA,CB 750,2020-05-03 15:54:09
Buss,ROO472,6,Grå,VOLVO,9700,2020-05-03 13:46:35
Bil,WJY803,4,Svart,OPEL,VECTRA,2020-05-06 11:23:19
Båt,LFR468,0,Grå,NIMBUS,PARAGON 25,2020-05-06 03:20:47
MC,XJJ093,2,Orange,KAWASAKI,VN800,2020-05-06 19:00:35
Båt,LRJ750,0,Röd,NIMBUS,PARAGON 25,2020-05-02 19:56:00
Bil,LAL557,4,Annan,VOLVO,745,2020-05-04 03:57:48
Buss,EFY426,4,Annan,VOLVO,8900,2020-05-03 07:02:07
Bil,SKY510,4,Blå,VOLVO,S80,2020-05-06 13:29:57
Cykel,AAH184,3,Grön,BIANCHI,OLTRE XR4,2020-05-04 09:08:10
Cykel,GMS046,2,Orange,CRESCENT,KRAFT K30,2020-05-03 04:37:24
Buss,MMM888,6,Grå,VOLVO,9700,2020-05-03 17:19:51
MC,XJF774,2,Grön,YAMAHA,YZF-R1,2020-05-04 08:21:48
Bil,KPE035,4,Röd,VW,GOLF,2020-05-02 07:52:04
Bil,XSE481,4,Gul,VW,GOLF,2020-05-02 12:50:39
Bil,MBN019,4,Grön,VW,GOLF,2020-05-05 15:10:49
MC,AEG467,2,Orange,YAMAHA,XV1100,2020-05-02 06:19:03
Buss,CPP390,4,Annan,IVECO,CROSSWAY,2020-05-04 07:14:06
MC,TBF731,3,Annan,HONDA,XL650V,2020-05-05 16:06:51
Buss,PGS482,4,Grå,VOLVO,9700,2020-05-06 05:12:00
MC,EDH822,2,Grå,YAMAHA,XV1100,2020-05-02 17:35:55
Bil,TPM876,4,Annan,TOYOTA,COROLLA,2020-05-02 13:17:21
Buss,CRX922,6,Grön,FORD,TRANSIT,2020-05-05 00:25:30
MC,POU696,3,Blå,HONDA,CM 400,2020-05-05 10:01:33
Bil,TLH482,4,Röd,TOYOTA,YARIS,2020-05-03 09:47:09
Buss,DFT656,4,Gul,IVECO,URBANWAY,2020-05-02 04:14:24
